null,1.234
gulia.peito,944.270
steeminator3000,3789.480
afrinsultana,3066.940
kalvas,5606.960
frankches,3.080
elias15g,803.670
jferdous,47.060
shuvo35,893.820
yann0975,1682.520
silentscreamer,2012.150
flauwy,4135.130
cleanplanet,2840.980
rehan12,5382.810
certain,3042.700
freecrypto,3049.670
jonsnow1983,750.470
ezzy,1173.750
secretman02,1503.470
emiliomorles,2603.990
yanirauseche,2416.350
secretman,246.060
acidyo,13630.580
jodipamungkas,8985.760
cryptospa,6203.850
erick1,612.270
jeronimorubio,8770.280
surpassinggoogle,5425.700
hightouch,772.340
hafizullah,6712.740
intrepidsurfer,8571.810
reseller,8789.280
hmetu,2896.400
thejohalfiles,51487.320
elsiekjay,9896.870
joythewanderer,10004.480
teamhumble,4110.170
teamvideo,243.760
rbbeachdesigns,3.830
jeffjagoe,2724.980
knowhow92,6546.010
dontstopmenow,3698.690
maneco64,4273.190
nannal,152.580
rongibsonchannel,1233.810
dotwin1981,47.400
acromott,4525.590
hauptmann,6911.000
dtube.forum,4491.080
elmetro,118.160
txmek,457.960
panza,13.520
mvd,8540.690
dreamrafa,318.020
zuma,1305.040
freedompoint,7931.950
snmelinger,88.540
emeeseese,2.940
phoneinf,10481.200
tibfox,2805.850
bert0,222.490
memeteca,2.470
tresor,39.310
whalestrail,17.310
atnazo,5187.500
nonsowrites,2409.820
exyle,17125.580
travelgirl,2982.190
technologix,40.970
devtheconnector,25.230
dirapa,4446.780
newsnownorthwest,109.610
josediccus,5367.930
techcoderx,944.320
onelovedtube,1038.210
onelovecuration,25.010
onelove.curation,17.690
priyanarc,9877.230
old-guy-photos,5177.130
sketch.and.jam,1931.910
c-libertarian,201.590
scottcbusiness,5509.370
ten-years-before,195.580
neopch,2150.880
akioexzgamer,1.640
baiboua,43.070
bobaphet,1819.380
french-tech,1.340
imtase,3.110
fivefiveeleven,1175.130
luckyali,24.310
nalexadre,11.770
anggreklestari,2214.670
steementertainer,13.280
captainbob,4614.430
randomvlogs,0.180
buttcoins,1782.430
erode,1210.050
alokkumar121,2974.120
sharmlock,1523.210
olaexcel,213.010
alexran,1194.670
mamun123456,1380.750
kaerpediem,2644.570
steemersayu907,2383.240
elizibar,479.940
jozef230,1714.250
katerinaramm,51.150
romafedorov,5898.480
nerdtopiade,198.160
ash,608.730
d00k13,4500.490
bluemist,136.620
daeshim,137.750
nicolcron,1224.790
sasaadrian,2651.400
maciejficek,1.100
namiks,93.830
morahn,3.120
anderssinho,1.290
mdaminulislam,1932.480
davidke20,472.230
dailyke20,62.950
larsito,151.190
nikoleondas,1.740
trumpman,114.560
ashikstd,1048.130
engrsayful,914.830
zahidsun,758.020
damla,21.020
dikayskate,262.790
chesatochi,4058.840
byercatire,11.280
kevinli,3632.130
strawhat,988.520
madushanka,4800.120
neladepablos,669.670
emilymoon,16.830
mes,1224.370
firayumni,347.350
cryptoyzzy,543.500
prc,114.730
dsound,307.370
magnat,7.550
bitrocker2020,10147.510
elizacheng,1276.720
joannewong,937.100
aaronleang,246.920
bboyady,62.740
yusmi,221.140
rolrien,4.340
greencross,1631.130
rt-international,4138.130
matimees,0.210
alvinauh,13.300
redonkulas13,3.110
redonkulas12,24.830
fernando.lubezki,267.670
molometer,1046.640
brianphobos,690.650
lecharles,3.260
harshilpatel,12332.350
roshansuares,694.690
