null,1.234
dontstopmenow,3698.690
jferdous,47.060
steeminator3000,3789.480
jonsnow1983,750.470
techcoderx,944.320
byercatire,11.280
certain,3042.700
elias15g,803.670
yann0975,1682.520
nannal,152.580
onelovedtube,1038.210
rezoanulvibes,24.780
yonilkar,55.730
jozef230,1714.250
cleanplanet,2840.980
eastmael,14.840
paragism,2.190
onelovecuration,25.010
dirapa,4446.780
onelove.curation,17.690
atnazo,5187.500
adetorrent,5928.830
dragraff,276.270
randomvlogs,0.180
birdinc,32.120
afrinsultana,3066.940
dvf,27.150
fivefiveeleven,1175.130
goforthegoldy,1.040
greencross,1631.130
shuvo35,893.820
alokkumar121,2974.120
ph1102,1088.530
cryptofiloz,50.340
pixiepost,1526.250
yanirauseche,2416.350
rana2423,2620.240
emiliomorles,2603.990
dalz,88.720
frankches,3.080
felt.buzz,3611.510
joythewanderer,10004.480
xr-hammergaming,6127.480
stevespeaks,0.570
teamhumble,4110.170
blind-spot,2157.210
priyanarc,9877.230
d00k13,4500.490
ashikstd,1048.130
larsito,151.190
galberto,4.860
secretman02,1503.470
rongibsonchannel,1233.810
secretman,246.060
neopch,2150.880
kalvas,5606.960
vaderetro,1061.490
buttcoins,1782.430
nonsowrites,2409.820
zuma,1305.040
roshansuares,694.690
olaexcel,213.010
exyle,17125.580
mvd,8540.690
acromott,4525.590
inertia,225.290
josediccus,5367.930
ezzy,1173.750
rea,1667.260
ourhappyplace,582.980
emsonic,4330.210
hafizullah,6712.740
knowhow92,6546.010
bert0,222.490
tresor,39.310
hmetu,2896.400
memeteca,2.470
emeeseese,2.940
whalestrail,17.310
spaco,0.160
jeronimorubio,8770.280
namiks,93.830
engrsayful,914.830
reseller,8789.280
tibfox,2805.850
lastravage,5.710
tanbay,11140.370
c0ff33a,1809.150
intrepidsurfer,8571.810
paulag,1298.810
captainbob,4614.430
blue.panda,54.440
star.lord,102.720
freecrypto,3049.670
freedompoint,7931.950
seckorama,1259.560
uwelang,1299.990
rehan12,5382.810
nikoleondas,1.740
thejohalfiles,51487.320
neladepablos,669.670
olopezdeveloper,8.530
ficcion,0.310
maneco64,4273.190
newsnownorthwest,109.610
elsiekjay,9896.870
elmetro,118.160
putu300,294.650
theshinstory,47.770
panza,13.520
soundlegion,1640.760
c-libertarian,201.590
erode,1210.050
skylinebuds,1.650
davixesk8,1884.420
romafedorov,5898.480
ela.muds,217.740
nicolasdosse,217.980
ten-years-before,195.580
dreamrafa,318.020
baiboua,43.070
steementertainer,13.280
acidyo,13630.580
strawhat,988.520
nalexadre,11.770
jodipamungkas,8985.760
imtase,3.110
sharmlock,1523.210
kaerpediem,2644.570
steemitfn,28.330
cryptoyzzy,543.500
bobaphet,1819.380
fruitdaddy,1188.110
phillarecette,0.880
elizibar,479.940
cryptospa,6203.850
alexran,1194.670
french.fyde,161.400
flauwy,4135.130
anderssinho,1.290
chronocrypto,133.370
katerinaramm,51.150
silentscreamer,2012.150
lorenzopistolesi,1234.480
lady-idra,0.070
gaborockstar,3758.260
cranium,548.490
travelgirl,2982.190
kemal13,213.830
devtheconnector,25.230
siavach,278.130
piotrgrafik,2204.690
barge,15.560
rolrien,4.340
krunkypuram,1.320
travelingsoul,29.560
nicolcron,1224.790
liuke96player,1.030
erick1,612.270
abh12345,1698.780
adsactly,4515.920
steemersayu907,2383.240
rollsman,2.840
alphasteem,2349.150
hightouch,772.340
dailyke20,62.950
davidke20,472.230
walterprofe,191.050
mondoshawan,76.930
old-guy-photos,5177.130
raj808,748.120
maciejficek,1.100
apix,18.680
gitchemanitou,12.330
edgarsart,1955.170
scottcbusiness,5509.370
karensuestudios,3636.380
polebird,1862.080
sergiomendes,6213.940
viniciotricolor,1.210
bitrocker2020,10147.510
memoryleakdeath,1289.910
mes,1224.370
elizacheng,1276.720
alvinauh,13.300
joannewong,937.100
aaronleang,246.920
bboyady,62.740
mamun123456,1380.750
dtube.forum,4491.080
kevinli,3632.130
hauptmann,6911.000
nealmcspadden,289.910
ivansnz,5072.580
jeffjagoe,2724.980
surpassinggoogle,5425.700
for91days,2466.670
zahidsun,758.020
camuel,1947.990
snmelinger,88.540
rt-international,4138.130
cryptoctopus,3035.800
kenanqhd,1533.010
paulmoon410,7.520
akioexzgamer,1.640
chesatochi,4058.840
mspbro,905.470
n3n,47.770
ramjantox,15.360
anggreklestari,2214.670
firayumni,347.350
madushanka,4800.120
infowarrior13,2.340
mdaminulislam,1932.480
glitterfart,17229.500
flaxz,846.480
ridoykhan22,952.510
brianphobos,690.650
kingscrown,2380.920
retrocommodore,600.420
spectrumecons,1286.600
danmaruschak,3158.510
soufiani,708.000
steemcasting,114.210
chorock,101.990
fahimchowdhury,774.490
neoxian-city,717.290
zaku,802.430
zakugames,492.460
bdvoter.cur,75.180
phoneinf,10481.200
sinzzer,1019.270
sasaadrian,2651.400
dotwin1981,47.400
luckyali,24.310
ashtv,1661.920
sailingd,10.510
jplaughing,9.390
redline-aviator,1404.040
cyberdemon531,5350.750
madbuddhaabuser,45.160
leylar,60.120
hetmasteen,0.440
alexsandr,62.750
jaybird,5415.160
skeenee,386.310
anomadsoul,4866.530
catto000,2.470
fatherfaith,2.980
vincy,997.200
nerdtopiade,198.160
jeffandhisguitar,673.960
famigliacurione,6.320
mikesatoshi,18.710
theb0red1,94.930
prc,114.730
dsound,307.370
magnat,7.550
javirid,4.900
triority,9.430
ribalinux,591.470
bellydancegirl,116.960
steemflow,1878.710
samstonehill,407.960
jakiro12,12.610
fernando.lubezki,267.670
melbourneswest,7.930
matimees,0.210
thecontractor,10.930
yasu,95.560
sodom,6.520
sketch.and.jam,1931.910
redonkulas12,24.830
redonkulas13,3.110
kkarenmp,2308.840
anthonyadavisii,465.960
ahmadmanga,1.940
gulia.peito,944.270
cesarmorles,0.810
jizichannel,3.090
emilymoon,16.830
jeremycrow,8.070
birdelifurki,277.090
ammonite,347.150
diyhub,7.150
ace108,1334.980
dcooperation,1727.470
molometer,1046.640
cmplxty,38.510
jlsplatts,580.210
kalikalejawp,8.020
gray00,115.730
aschatria,3.290
damla,21.020
thesky,355.750
silvermoonhmstd,17.190
txmek,457.960
adventuroussoul,8880.840
ironshield,109.480
nurdinnakaturi,10.680
cahlen,459.860
robtheranger,107.070
braaiboy,246.140
reiseamateur,116.540
winkandwoo,1.210
waybeyondpadthai,3306.610
thegreens,730.890
mark0318,414.120
rozioo,3020.850
cammygrillz,0.970
bitcoinmarketss,0.070
sanashaikh,1.120
